Photo,Number,Tadpole,TotalLength,BodyLength,TailLength,MaxTailDepth,TailMuscleHeight,TailSpotArea,Red,Green,Blue,Hue,Chroma,Brightness,HeadWidth,TailMuscleWidth,
8007/8008,29,2,11.279,4.082,7.49,2.639,1.08,0.819,233.811,201.358,172.383,20.306,68.722,233.811,2.146,0.853,
7395/7396,3,5,12.829,4.447,8.09,2.844,1.034,1.602,191.507,161.761,142.217,16.764,68.456,191.507,2.469,0.827,
7934/7935,107,2,14.01,5.026,8.809,3.025,1.256,0.366,245.377,212.934,179.089,21.123,68.441,245.377,2.95,0.895,
7896/7897,49,5,15.927,5.377,10.647,3.453,1.342,0.523,223.787,189.505,164.181,18.201,68.312,223.787,2.788,1.167,
8173/8174,59,3,16.25,5.65,10.638,3.733,1.448,4.495,165.3,139.467,121.596,16.899,68.184,165.3,2.969,1.263,
7971/7972,116,3,14.968,5.4,9.318,3.467,1.037,1.337,224.868,195.659,164.586,21.896,67.894,224.948,3.15,0.964,
7399/7400,38,5,12.668,4.702,7.957,2.9,1.239,0.568,203.368,173.883,153.586,18.345,67.827,203.368,2.691,0.906,
7887/7888,6,4,16.637,5.558,11.236,3.518,1.299,1.717,210.231,178.637,154.554,17.928,67.677,210.231,2.984,1.108,
8003/8004,95,1,17.091,5.919,10.98,3.853,1.601,1.978,240.489,207.91,176.371,20.606,67.571,240.489,3.132,1.184,
8144/8145,84,4,15.49,5.316,10.206,3.459,1.411,1.186,203.706,178.452,148.429,22.117,67.341,203.706,2.825,1.138,
8140/8141,99,5,14.906,5.297,9.608,3.384,1.415,1.278,205.392,181.323,151.221,23.113,66.729,205.393,2.833,1.06,
8142/8143,129,1,14.833,5.36,9.557,3.297,1.35,1.482,227.617,201.742,167.217,24.066,66.593,227.617,2.818,1.056,
7397/7398,102,5,11.033,4.26,6.697,2.296,1.036,0.54,219.494,185.054,162.942,17.506,66.346,219.494,2.477,0.816,
8175/8176,125,5,15.754,5.692,10.134,3.851,1.428,0.894,230.614,198.074,170.53,19.922,66.343,230.614,2.977,1.235,
7367/7368,110,3,11.32,4.229,7.24,2.145,1.04,0.801,216.656,187.535,163.196,20.405,66.246,216.656,2.272,0.702,
8171/8172,34,4,16.66,5.795,10.887,3.695,1.449,1.444,206.594,178.592,152.477,21.401,65.869,206.594,3.066,1.093,
7395/7396,3,4,12.935,4.994,7.823,3.096,1.264,1.359,214.236,180.544,159.279,16.767,65.73,214.236,2.819,0.965,
7981/7982,104,1,16.772,5.691,11.215,3.532,1.364,0.629,243.868,215.107,180.622,22.613,65.651,243.868,3.304,1.04,
8148/8149,76,5,15.538,5.303,10.174,3.52,1.435,0.311,236.866,206.947,175.596,21.707,65.635,236.866,2.749,1.123,
8150/8151,93,2,14.609,5.118,9.435,3.379,1.394,0.883,238.168,208.482,176.734,22.266,65.612,238.168,3.046,1.14,
7399/7400,38,3,12.147,4.708,7.262,3.176,1.244,1.175,220.261,188.598,163.486,19.125,65.552,220.261,2.722,0.879,
8173/8174,59,1,17.53,6.293,11.064,3.978,1.777,1.674,196.714,172.681,146.415,22.336,65.087,196.715,2.778,1.252,
8163/8164,20,3,13.402,4.961,8.458,3.512,1.05,5.009,91.795,77.951,69.687,15.081,64.827,91.795,2.79,0.913,
7894/7895,68,5,17.24,5.879,11.589,3.938,1.671,1.438,237.393,202.974,177.441,17.882,64.31,237.393,3.107,1.213,
7971/7972,116,2,15.133,5.174,9.777,2.708,1.221,0.435,198.647,178.123,150.46,43.792,63.851,198.822,3.104,0.99,
8140/8141,99,2,14.587,5.262,9.885,3.076,1.136,0.858,204.115,181.004,153.937,22.606,63.439,204.115,2.679,1.162,
7934/7935,107,4,13.387,5.13,8.46,3.304,1.427,0.297,200.548,174.899,150.345,20.703,63.388,200.548,2.832,0.909,
7399/7400,38,1,12.882,4.661,8.229,2.904,1.183,0.684,234.472,206.36,176.679,22.285,62.989,234.472,2.642,0.941,
8007/8008,29,3,17.024,5.855,11.267,3.768,1.634,1.528,241.675,206.276,181.685,17.164,62.987,241.675,3.269,1.237,
7879/7880,73,4,16.777,5.757,11.018,4.075,1.554,3.388,174.194,150.002,132.252,17.735,62.799,174.194,3.11,1.247,
7401/7402,120,1,12.551,4.604,7.986,2.975,1.12,1.165,229.256,199.895,172.872,20.532,62.492,229.256,2.642,0.89,
7360/7362,37,3,11.923,4.255,7.586,2.691,1.001,0.31,208.523,184.343,157.557,21.939,62.398,208.523,2.515,0.804,
7395/7396,3,3,11.57,4.634,7.024,2.888,1.115,0.561,221.486,196.642,167.352,23.084,62.285,221.486,2.759,0.826,
7981/7982,104,2,16.051,5.485,10.784,3.448,1.299,0.335,205.772,187.263,156.303,26.103,62.107,206.042,3.074,0.961,
7363/7365,86,4,12.779,4.632,8.05,3.107,1.11,1.145,212.498,183.173,160.818,18.067,62.08,212.498,2.668,0.802,
7934/7935,107,3,15.435,5.435,9.826,3.232,1.127,0.757,231.755,205.139,175,22.083,61.922,231.755,3.12,1.177,
8175/8176,125,1,17.054,6.145,11.052,4.043,1.47,3.829,182.662,159.673,138.703,20.121,61.875,182.662,3.016,1.194,
7373/7374,130,2,14.01,5.13,8.616,2.726,1.187,0.855,222.465,191.873,168.837,18.029,61.606,222.465,2.82,0.945,
8003/8004,95,2,16.61,5.576,11.27,3.588,1.388,0.606,221.785,199.462,168.237,25.138,61.572,221.979,3.002,1.073,
7894/7895,68,4,17.848,6.284,11.626,3.79,1.681,2.246,242.12,212.71,183.429,21.254,61.448,242.12,2.976,1.282,
8007/8008,29,1,16.947,5.93,10.925,4.03,1.621,2.122,235.424,207.012,178.557,20.937,61.198,235.462,3.368,1.354,
8152/8153,126,5,13.669,4.594,9.225,2.934,1.529,0.152,242.384,212.067,183.904,20.254,61.132,242.384,NA,NA,
7985/7986,47,2,15.469,5.277,10.285,3.523,1.44,0.641,244.203,219.468,185.267,24.289,61.098,244.203,2.976,1.055,
7894/7895,68,2,17.728,5.983,11.686,3.964,1.581,1.048,236.595,208.955,179.6,21.553,61.089,236.595,3.039,1.281,
7896/7897,49,1,17.415,5.621,11.95,3.634,1.464,1.002,241.958,210.912,183.628,20.096,61.062,241.958,3.059,1.335,
8171/8172,34,5,15.645,5.981,10.046,3.625,1.522,1.718,207.222,184.097,157.572,22.517,61.031,207.222,3.336,1.203,
7372/7371,113,4,10.718,3.819,7.043,2.034,0.93,0.369,228.501,201.419,174.645,21.778,60.983,228.501,2.377,0.733,
7983/7984,88,1,12.709,5.035,8.154,3.023,1.327,0.429,243.229,221.466,184.574,26.093,60.965,243.228,2.727,1.001,
7363/7365,86,5,13.893,4.962,8.964,3.211,1.251,0.978,217.552,189.011,165.132,19.137,60.937,217.552,2.743,0.892,
7896/7897,49,4,17.645,6.059,11.883,3.655,1.466,0.891,216.008,184.238,164.847,15.903,60.504,216.008,3.216,1.203,
8165/8166,128,5,14.642,5.492,8.993,3.608,1.337,2.3,203.61,182.5,154.846,24.11,60.379,203.61,3.11,1.046,
7898/7899,9,3,15.012,5.153,10.045,3.064,1.426,0.29,236.589,206.636,180.422,19.504,60.181,236.589,3.039,1.052,
7932/7933,87,4,15.515,5.488,10.128,3.61,1.228,1.037,200.504,175.636,155.148,18.779,59.393,200.516,2.866,0.92,
7983/7984,88,2,14.882,5.006,10.068,3.091,1.303,0.169,244.789,218.223,187.255,22.262,59.391,244.789,2.758,1.043,
8142/8143,129,5,15.015,5.347,9.894,3.493,1.297,0.93,208.948,185.469,160.071,21.526,59.314,208.948,2.781,1.133,
7981/7982,104,5,16.964,5.449,11.643,3.574,1.42,1.153,245.407,223.536,188.053,26.004,59.132,245.407,3.087,1.117,
7399/7400,38,2,14.425,5.181,9.322,2.932,1.153,2.562,210.939,185.996,162.042,20.461,59.062,210.939,3.117,1.078,
8003/8004,95,4,16.463,5.787,10.843,3.964,1.409,1.556,231.457,199.188,177.907,16.616,58.782,231.457,2.805,1.332,
8163/8164,20,5,12.699,4.986,7.798,3.201,1.076,2.719,187.333,168.634,144.517,23.722,58.646,187.333,2.819,0.899,
7395/7396,3,2,11.642,4.373,7.271,2.399,0.993,0.637,226.598,204.045,175.657,23.975,58.292,226.598,2.146,0.792,
8146/8147,62,5,13.492,5.06,8.634,2.998,1.487,0.228,239.562,214.194,184.786,22.654,57.95,239.562,2.693,0.948,
7355/7356,41,5,12.61,4.671,7.934,3.024,1.086,2.606,228.937,204.225,176.534,21.98,57.885,228.937,2.682,0.928,
8144/8145,84,1,14.353,5.29,9.133,3.099,1.352,1.361,221.149,200.023,170.154,24.204,57.569,221.149,2.685,1.096,
7930/7931,122,4,13.244,4.955,8.223,2.753,1.032,0.382,231.249,206.166,178.902,21.85,57.478,231.252,2.944,0.855,
7932/7933,87,2,18.561,6.526,12.288,4.094,1.54,1.272,215.338,190.477,166.431,22.658,57.29,215.436,3.229,1.375,
8150/8151,93,3,15.714,5.424,10.429,3.329,1.524,0.278,242.085,214.445,187.634,20.571,56.975,242.085,2.898,1.129,
8152/8153,126,2,15.582,5.357,10.421,3.607,1.476,0.792,238.274,215.26,184.61,24.389,56.737,238.274,2.812,1.213,
8146/8147,62,4,16.362,5.889,10.541,3.595,1.549,0.505,226.489,197.566,174.627,18.801,56.604,226.489,3.061,1.2,
7928/7929,27,3,12.245,4.438,7.81,2.863,1.269,0.369,238.929,211.008,185.726,19.552,56.33,238.929,2.779,0.926,
7889/7890,48,2,16.944,5.813,11.19,4.288,1.528,1.304,200.81,174.422,156.68,23.802,55.845,200.874,3,1.12,
7983/7984,88,5,16.083,5.705,10.789,3.619,1.341,0.451,242.801,216.071,190.142,20.525,54.836,242.801,2.756,1.17,
7973/7974,66,5,15.842,5.397,10.61,3.479,1.252,0.687,240.852,216.339,188.655,22.156,54.794,240.852,2.574,1.093,
7898/7899,9,1,15.027,5.107,10.162,3.398,1.493,0.825,245.002,219.644,191.862,21.867,54.776,245.002,2.884,1.111,
7372/7371,113,3,10.846,3.885,6.892,1.978,1.049,0.294,246.098,219.58,193.144,24.725,54.642,246.098,2.343,0.73,no tail spot at all
8146/8147,62,3,15.876,5.606,10.412,3.722,1.635,0.476,236.208,215.098,185.251,24.628,54.451,236.208,2.767,1.224,
7981/7982,104,3,12.234,4.737,7.662,2.264,1.097,0.323,240.452,219.206,188.711,24.526,54.323,240.452,2.574,0.85,
7397/7398,102,1,13.168,4.718,8.58,3.047,1.157,0.872,211.772,190.645,167.801,22.356,53.886,211.772,2.722,0.926,
7973/7974,66,4,10.295,3.794,6.749,2.249,0.83,0.309,240.055,218.396,188.972,24.049,53.886,240.055,2.292,0.62,
7369/7370,106,4,13.399,4.881,8.546,3.033,1.167,0.795,239.668,213.353,189.304,20.816,53.213,239.668,2.644,0.961,
7894/7895,68,1,13.3,4.551,8.746,2.668,1.123,0.514,224.59,203.717,177.442,23.031,53.013,224.59,2.763,0.887,
8142/8143,129,2,16.299,5.703,10.659,3.762,1.443,1.98,203.053,185.1,160.857,23.684,52.938,203.053,2.724,1.21,
8144/8145,84,3,12.945,4.686,8.466,3.048,1.119,0.678,207.565,187.87,164.514,22.875,52.338,207.565,2.403,0.862,
8163/8164,20,1,13.956,4.982,8.88,2.944,1.242,0.429,217.538,202.848,173.307,28.106,51.594,217.538,2.739,0.894,
7930/7931,122,3,13.095,4.914,8.143,2.695,1.045,0.266,206.172,188.59,164.91,23.192,51.447,206.271,2.786,0.866,
7894/7895,68,3,10.629,3.779,6.748,1.771,1.104,0.174,242.156,221.576,192.907,24.361,51.416,242.156,NA,NA,
8142/8143,129,4,15.722,5.474,10.327,3.388,1.41,1.124,215.515,194.411,171.214,22.015,51.132,215.515,2.882,1.225,
7373/7374,130,3,13.297,4.902,8.268,3.026,1.285,0.364,232.778,206.778,185.755,18.75,50.941,232.778,2.461,1.001,
7983/7984,88,3,15.784,5.601,10.238,3.546,1.421,0.844,239.734,214.4,191.611,19.465,50.694,239.734,2.715,1.265,
7401/7402,120,5,9.421,3.866,5.52,2.235,0.989,0.113,242.947,217.359,194.313,20.093,50.595,242.947,2.184,0.729,
7997/7998,2,2,13.838,4.689,9.127,3.14,1.284,0.268,215.64,199.246,172.622,25.657,50.578,215.642,2.354,1.148,
7928/7929,27,5,14.444,5.477,9.128,3.653,1.198,0.637,227.084,207.082,182.011,22.85,50.477,227.109,3.155,1.035,
7995/7996,10,5,16.474,5.744,10.962,3.502,1.611,0.627,236.352,210.869,189.146,19.055,50.448,236.353,2.799,1.459,
7355/7356,41,4,12.493,4.528,8.209,2.929,1.032,1.922,219.734,197.592,176.48,20.61,50.289,219.734,2.594,0.798,
7372/7371,113,1,9.697,3.767,5.851,2.147,0.975,0.182,233.764,211.471,188.326,21.464,49.173,233.764,2.298,0.704,
7367/7368,110,1,12.919,4.868,8.108,2.995,1.108,0.304,228.66,207.722,184.455,22.163,48.915,228.66,2.602,0.963,
8146/8147,62,2,15.355,5.241,10.257,3.328,1.507,0.677,211.386,197.092,171.719,26.228,47.046,211.386,2.659,1.236,
8005/8006,1,3,15.946,5.732,10.668,3.651,1.42,0.937,232.728,208.904,189.741,18.71,46.49,232.74,3.299,1.234,
7932/7933,87,5,13.913,5.073,8.705,2.904,1.353,0.412,235.863,215.748,193.215,21.742,45.902,235.886,2.343,0.911,
7373/7374,130,1,13.88,4.947,8.764,2.955,1.148,0.755,228.621,207.168,187.416,20.165,45.366,228.621,2.715,0.898,
8005/8006,1,4,12.632,4.354,8.381,2.66,1.169,0.408,236.258,213.705,194.15,19.311,45.082,236.258,2.472,0.919,
7367/7368,110,5,13.402,4.519,8.83,2.977,1.109,0.373,238.805,219.286,196.824,22.821,44.504,238.805,2.577,0.902,
7369/7370,106,1,14.894,5.255,9.649,3.546,1.246,0.66,234.978,213.127,193.901,20.362,44.361,234.978,2.158,0.979,
7898/7899,9,5,14.493,5.086,9.444,2.987,1.256,0.277,239.572,221.869,197.909,24.189,44.007,239.572,3.042,1.11,
7979/7980,71,3,11.608,4.107,7.688,2.031,1.023,0.138,243.638,221.27,201.382,20.382,43.792,243.638,2.2,0.904,none
7891/7892,136,1,14.754,5.18,9.71,3.312,1.276,0.373,222.843,203.462,184.627,23.948,43.639,222.843,2.767,1.073,none
7891/7892,136,3,14.512,4.932,9.65,3.044,1.363,0.235,237.089,217.518,197.355,21.241,42.233,237.089,2.816,1.048,none
8150/8151,93,5,14.467,5.074,9.567,3.488,1.419,0.402,234.012,217.909,194.913,25.362,42.183,234.012,2.831,1.078,
8148/8149,76,1,15.29,5.216,10.172,3.591,1.454,0.356,205.108,190.339,170.525,24.201,41.989,205.111,2.795,1.062,
7397/7398,102,4,11.53,4.382,7.153,2.483,1.069,0.58,241.027,223.562,202.465,23.655,40.475,241.027,2.554,0.854,
7367/7368,110,2,13.995,5.011,8.82,3.001,1.175,0.491,223.962,207.737,189.535,22.115,39.212,223.962,2.914,1.01,
7367/7368,110,4,12.181,4.608,7.802,2.205,0.995,0.116,233.716,216.643,198.072,22.212,38.84,233.716,2.32,0.868,
8152/8153,126,1,13.734,4.481,8.779,3.054,1.302,0.634,212.11,201.615,179.626,28.037,38.193,212.117,2.799,1.056,
7896/7897,49,2,15.38,4.82,10.49,2.987,1.014,0.33,230.687,212.053,196.156,19.041,37.65,230.687,3.074,1.095,
7397/7398,102,3,8.665,3.393,5.123,1.665,0.82,0.077,243.016,229.149,206.873,25.763,37.523,243.016,NA,NA,
7891/7892,136,5,10.937,3.88,7.06,2.237,1.003,0.05,203.39,185.818,175.831,13.87,36.091,203.39,NA,NA,none
7397/7398,102,2,10.869,4.192,6.735,2.013,0.903,0.246,233.16,221,200.889,25.96,34.91,233.16,2.429,0.854,
7338/7339,51,3,9.812,3.396,6.255,1.813,0.979,0.078,224.693,210.143,194.363,22.343,34.523,224.693,1.493,0.884,
7891/7892,136,4,15.229,5.104,10.186,3.419,1.229,0.41,239.817,228.387,210.462,25.475,30.805,239.817,2.343,0.987,none
7369/7370,106,5,12.545,4.633,7.983,2.999,1.136,0.237,238.342,225.7,209.643,23.495,30.371,238.342,2.286,0.869,
7898/7899,9,2,14.742,4.956,9.616,3.329,1.629,0.219,238.722,226.053,212.751,21.556,27.317,238.722,2.992,1.057,
